trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.5, 'e': 0.9245}",30,21,-28.694581453286816,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.924}",25,0,-54.38239951692253,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.9235}",25,0,-62.04984337450545,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.923}",20,0,-74.96282379452175,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.9225}",25,0,-46.658057521117925,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.922}",25,0,-115.44468478451073,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.9215}",25,0,-221.9109132417926,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
158,False,"{'a': 0.5, 'e': 0.921}",25,0,-116.8937932043035,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.9205}",20,0,-94.2895391130928,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.92}",30,0,-147.4092094228383,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.9195}",30,4,-50.99542598297362,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.919}",25,2,-146.41124362777202,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 2}",1
163,False,"{'a': 0.5, 'e': 0.9185}",25,8,-58.05896381818729,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.918}",20,0,-90.6899752815378,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.9175}",20,0,-51.07245906972305,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.917}",20,0,-83.91644131793441,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.9165}",25,17,3.762526842950002,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.916}",30,0,-249.55538301258014,"{0: 14, 1: 3, 2: 9, 3: 0, 4: 4}",0
